"Read Details","Maggiori dettagli",module,Magento_AdminNotification
"Mark as Read","Segna come già letto",module,Magento_AdminNotification
"Are you sure?","Sei sicuro?",module,Magento_AdminNotification
Remove,Elimina,module,Magento_AdminNotification
"Messages Inbox","Messaggi in arrivo",module,Magento_AdminNotification
"You have %1 new system messages","Nuovi messaggi di sistema: %1",module,Magento_AdminNotification
"You have %1 new system message","Nuovi messaggi di sistema: %1",module,Magento_AdminNotification
"Incoming Message","Messaggio in arrivo",module,Magento_AdminNotification
close,chiudi,module,Magento_AdminNotification
Notifications,Notifiche,module,Magento_AdminNotification
"The message has been marked as Read.","Il messaggio è stato contrassegnato come letto.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Non è stato possibile segnare la notifica come letta a causa di un errore.",module,Magento_AdminNotification
"Please select messages.","Si prega di selezionare i messaggi.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Elementi segnati come letti: %1.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Elementi rimossi: %1.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Non è stato possibile eliminare i messaggi a causa di un errore.",module,Magento_AdminNotification
"The message has been removed.","Il messaggio è stato eliminato.",module,Magento_AdminNotification
"1 Hour","1 ora",module,Magento_AdminNotification
"2 Hours","2 ore",module,Magento_AdminNotification
"6 Hours","6 ore",module,Magento_AdminNotification
"12 Hours","12 ore",module,Magento_AdminNotification
"24 Hours","24 ore",module,Magento_AdminNotification
critical,critico,module,Magento_AdminNotification
major,maggiore,module,Magento_AdminNotification
minor,minore,module,Magento_AdminNotification
notice,nota,module,Magento_AdminNotification
"Wrong message type","TIpo messaggio errato",module,Magento_AdminNotification
"Wrong notification ID specified.","È stato specificato un ID di notifica errato.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} non è raccomandato utilizzarlo nell'ambiente di produzione per dichiarare URL Base non sicuro / URL Base Sicuro. Consigliamo vivamente di modificare questo valore nella <a href=""%1"">configurazione</a> di Magento.",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Si prega di accedere alla sezione di <a href=""%1"">Gestione cache</a> e di aggiornare i tipi di cache invalidati.",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Non siamo stati in grado di sincronizzare uno o più file media. Consulta il file di log per i dettagli.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Sincronizzazione dei file multimediali completata.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Il tuo server Web è configurato in modo non corretto e consente l'accesso non autorizzato ai file sensibili. Si prega di contattare il proprio fornitore di hosting.",module,Magento_AdminNotification
"System Messages:","Messaggi di sistema:",module,Magento_AdminNotification
"Critical System Messages","Messaggi critici di sistema",module,Magento_AdminNotification
"Major System Messages","Messaggi di sistema principali",module,Magento_AdminNotification
"System messages","Messaggi di sistema",module,Magento_AdminNotification
Close,Chiudi,module,Magento_AdminNotification
"See All (","Vedi tutti (",module,Magento_AdminNotification
"Please correct the data sent.","Si prega di correggere i dati inviati.",module,Magento_AdvancedPricingImportExport
"Entity type model '%1' is not found","Modello tipo entità '%1' non trovato",module,Magento_AdvancedPricingImportExport
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Il modello del tipo di entità deve essere un'istanza di \Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType",module,Magento_AdvancedPricingImportExport
"There are no product types available for export","Non ci sono tipi di prodotto disponibili per l'esportazione",module,Magento_AdvancedPricingImportExport
"We can't find the role for the user you wanted.","Non riusciamo a trovare il ruolo per l'utente desiderato.",module,Magento_Authorization
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Qualcosa è andato storto durante la compilazione di un elenco di risorse consentite. Puoi trovare ulteriori informazioni nel registro dell'eccezioni.",module,Magento_Authorization
"You created the order.","Hai creato l'ordine.",module,Magento_Authorizenet
"Order saving error: %1","Errore salvataggio ordine: %1",module,Magento_Authorizenet
"Please choose a payment method.","Si prega di scegliere un metodo di pagamento.",module,Magento_Authorizenet
"We can't process your order right now. Please try again later.","Non possiamo elaborare il vostro ordine in questo momento. Si prega di riprovare più tardi.",module,Magento_Authorizenet
"An error occurred on the server. Please try to place the order again.","Si è verificato un errore sul server. Provare ad effettuare nuovamente l'ordine.",module,Magento_Authorizenet
"Credit Card: xxxx-%1","Carta di credito: xxxx-%1",module,Magento_Authorizenet
"amount %1","importo %1",module,Magento_Authorizenet
failed.,"non riuscito.",module,Magento_Authorizenet
successful.,"con successo.",module,Magento_Authorizenet
"Authorize.Net Transaction ID %1.","Authorize.Net transazione ID %1.",module,Magento_Authorizenet
"authorize and capture","autorizza e trattieni",module,Magento_Authorizenet
capture,trattieni,module,Magento_Authorizenet
refund,rimborso,module,Magento_Authorizenet
void,nullo,module,Magento_Authorizenet
"Gateway error: %1","Errore gateway: %1",module,Magento_Authorizenet
"Something went wrong in the payment gateway.","Qualcosa è andato storto nel gateway di pagamento.",module,Magento_Authorizenet
"Invalid amount for capture.","Importo non valido per l'acquisizione.",module,Magento_Authorizenet
"Payment capturing error.","Errore nell'acquisizione del pagamento.",module,Magento_Authorizenet
"Invalid transaction ID.","ID transazione non valido.",module,Magento_Authorizenet
"Payment voiding error.","Errore nell'annullamento del pagamento.",module,Magento_Authorizenet
"Invalid amount for refund.","Importo non valido per il rimborso.",module,Magento_Authorizenet
"Payment refunding error.","Errore di rimborso del pagamento.",module,Magento_Authorizenet
"The transaction was declined because the response hash validation failed.","La transazione è stata rifiutata perché la validazione risposta hash non è riuscita.",module,Magento_Authorizenet
"This payment didn't work out because we can't find this order.","Il pagamento non ha funzionato perché non riusciamo a trovare questo ordine.",module,Magento_Authorizenet
"There was a payment authorization error.","C'è stato un errore di autorizzazione del pagamento.",module,Magento_Authorizenet
"Please enter a transaction ID to authorize this payment.","Si prega di inserire un ID di transazione per autorizzare il pagamento.",module,Magento_Authorizenet
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Qualcosa è andato storto: l'importo pagato non corrisponde al totale dell'ordine. Si prega di risolvere il problema e riprovare.",module,Magento_Authorizenet
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","La transazione %1 è stata approvata. Importo %2. Lo stato della transazione è ""%3""",module,Magento_Authorizenet
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","La transazione %1 è stata annullata/rifiutata. Lo stato della transazione è ""%2"". Importo %3.",module,Magento_Authorizenet
"Authorize and Capture","Autorizza e trattieni",module,Magento_Authorizenet
"Unable to get transaction details. Try again later.","Impossibile ottenere i dettagli della transazione. Riprovare più tardi.",module,Magento_Authorizenet
"Credit Card Type","Tipo di carta di credito",module,Magento_Authorizenet
"Credit Card Number","Numero carta di credito",module,Magento_Authorizenet
"Expiration Date","Data di scadenza",module,Magento_Authorizenet
"Card Verification Number","Numero di verifica della carta",module,Magento_Authorizenet
"FDS Filter Action","Azione di filtro FDS",module,Magento_Authorizenet
"AVS Response","Risposta AVS",module,Magento_Authorizenet
"Card Code Response","Risposta codice carta",module,Magento_Authorizenet
"CAVV Response","Risposta CAVV",module,Magento_Authorizenet
"Fraud Filters","Filtri di frode",module,Magento_Authorizenet
"Invalid Form Key. Please refresh the page.","Form Key non valida. Si prega di aggiornare la pagina.",module,Magento_Backend
"You entered an invalid Secret Key. Please refresh the page.","Hai inserito un codice segreto non valido. Si prega di aggiornare la pagina.",module,Magento_Backend
"Cache Storage Management","Gestione dell'archiviazione della cache",module,Magento_Backend
"Flush Magento Cache","Svuota la Cache di Magento",module,Magento_Backend
